player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ke'Shawn Vaughn,45866,HB,TB,7,53,14,4,44.6,104,0,233,2,0,14,199,89.1,6,14,30,0,32,83.7,65.2,80.9,,79.3,34.2,71.9,59.9,55,0,35,6,71,59,0,0,9,59,3,233,199,3.75,4.4,0.49,18
Dak Prescott,10769,QB,DAL,17,28,4,1,9.8,17,0,20,0,0,0,10,0.0,7,9,9,15,1,37.0,82.4,80.7,83.5,,55.2,41.6,60.4,21,3,0,0,2,421,153,24,0,28,2,173,149,2.87,3.3,0.0,5
Joe Burrow,28022,QB,CIN,20,25,4,0,0.0,0,1,5,0,0,0,10,0.0,2,20,7,5,1,78.3,91.8,72.1,91.1,61.3,58.4,67.3,60.0,12,4,0,0,1,462,144,26,0,25,2,149,114,2.24,2.9,0.0,0
Ameer Abdullah,9487,HB,CAR,15,51,10,2,18.1,30,0,166,2,10,10,117,51.6,3,8,5,0,17,88.9,62.4,89.5,,31.7,73.9,56.7,71.2,15,0,289,38,193,81,0,0,48,89,0,166,117,2.29,3.3,1.5,34
Matthew Stafford,4924,QB,LA,21,35,0,0,0.0,0,0,-9,0,0,0,2,0.0,3,12,26,5,0,85.9,86.1,11.0,84.6,,52.8,73.9,60.0,14,10,0,0,3,509,94,15,1,35,2,85,8,0.16,1.7,0.0,2
Sam Darnold,29048,QB,CAR,12,26,4,0,0.0,0,0,28,0,0,0,8,0.0,8,21,5,9,1,33.2,54.7,31.9,53.9,,60.0,63.6,60.3,30,6,0,0,1,284,187,23,0,26,5,215,90,1.84,4.4,0.0,4
J.D. McKissic,11047,HB,WAS,11,48,1,1,7.1,15,1,212,2,5,1,97,13.3,6,14,32,0,15,85.1,69.5,44.2,,66.3,76.2,63.2,58.3,15,2,397,43,219,80,0,0,51,91,2,212,97,2.02,4.4,1.81,33
Cam Newton,6153,QB,CAR,8,42,10,2,24.8,57,0,194,0,0,7,111,44.0,8,19,5,4,21,72.0,53.3,9.0,46.5,,,73.8,60.3,33,2,0,0,0,105,36,5,0,42,5,230,160,3.4,4.9,,13
Tyler Huntley,46448,QB,BLT,7,22,5,1,5.1,15,0,91,0,0,3,42,26.0,13,22,3,4,16,49.0,68.3,33.0,62.0,,,82.3,60.0,21,4,0,0,0,128,203,25,0,22,2,294,121,2.57,6.3,,0
Mac Jones,60323,QB,NE,18,29,3,0,0.0,0,0,23,0,0,1,12,1.4,6,23,19,7,2,77.6,80.0,17.9,78.5,72.6,58.9,72.1,60.4,16,7,0,0,1,477,124,17,0,29,0,147,98,2.13,3.2,0.0,1
